id,direccion,esquina,colonia,alcaldia,boton,altavoz,tipo_de_poste,estatus_conectividad,latitud,longitud,geopoint
4408,PROL IGNACIO ALDAMA,AV SAN BERNARDINO,PASEOS DEL SUR,XOCHIMILCO,SIN BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.272285,-99.120244,"19.272285,-99.120244"
4409,ANTIGUO CAMINO A XOCHIMILCO,ENTRE AVENIDA MEXICO Y CARRET. VIEJA A SANTIAGO,AMPLIACION LA NORIA,XOCHIMILCO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.264626,-99.12593,"19.264626,-99.12593"
4410,C. CAPULIN,ENTRE PROL. I. ALDAMA Y C. PASEO DE LOS SAUCES,LAS PERITAS,XOCHIMILCO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.272147,-99.123813,"19.272147,-99.123813"
4411,C. CUAUHTEMOC,C. FERNANDO CELADA,AMP NATIVITAS,XOCHIMILCO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.242123,-99.097472,"19.242123,-99.097472"
4412,C. CLAVEL,C. RUBELLON,POTRERO DE SAN BERNARDINO,XOCHIMILCO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.269132,-99.119138,"19.269132,-99.119138"
4413,C. CLAVEL,C. VIOLETA,POTRERO DE SAN BERNARDINO,XOCHIMILCO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.268717,-99.11773,"19.268717,-99.11773"
4414,C. NIÑOS HEROES,C. CUAUHTEMOC,PUEBLO SAN MATEO XALPA,XOCHIMILCO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.231842,-99.120757,"19.231842,-99.120757"
4415,AVENIDA COMERCIO,C. XOCHITEPEC,PUEBLO SANTA CRUZ XOCHITEPEC,XOCHIMILCO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.257194,-99.130844,"19.257194,-99.130844"
4416,C. MARIANO ABASOLO,C. NIÑOS HEROES,PUEBLO STA. MA. TEPEPAN,XOCHIMILCO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.272734,-99.137518,"19.272734,-99.137518"
4417,NIÑOS HEROES,JOYA,PUEBLO STA. MA. TEPEPAN,XOCHIMILCO,SIN BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.275084,-99.136673,"19.275084,-99.136673"
4418,PASEO DE LA VIRGEN,CALZADA ARENAL,PUEBLO STA. MA. TEPEPAN,XOCHIMILCO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.280343,-99.138,"19.280343,-99.138"
4419,AV. DE LOS MAESTROS DE XOCHIMILCO,ENTRE C. CAPULINES Y C. ACUEDUCTO,TABLAS DE SAN LORENZO,XOCHIMILCO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.248163,-99.106791,"19.248163,-99.106791"
4420,C. CHONTALES,ENTRE CUARTO CALLEJON CHONTALES Y QUINTO CALLEJON CHONTALES,PUEBLO SANTA CRUZ ACALPIXCA,XOCHIMILCO,CON BOTON,CON ALTAVOZ,9mIR,WIFI GRATUITO_ACTIVO,19.248087,-99.079882,"19.248087,-99.079882"
4421,AVENIDA XOCHIMILCO,C. ZACAPA,XICALHUACAN,XOCHIMILCO,CON BOTON,CON ALTAVOZ,9mIR,WIFI GRATUITO_ACTIVO,19.258027,-99.081457,"19.258027,-99.081457"
4422,C. DIV. DEL NORTE,CALZADA DE LA MONERA,SAN SEBASTIAN,XOCHIMILCO,CON BOTON,CON ALTAVOZ,9mIR,WIFI GRATUITO_ACTIVO,19.250788,-99.007508,"19.250788,-99.007508"
4423,PROL. J. ORTIZ DE DOMINGUEZ,ENTRE C. DALIA Y C. VIOLETA,BARRIO SAN ESTEBAN,XOCHIMILCO,CON BOTON,CON ALTAVOZ,9mIR,REPORTE DE FALLA,19.264498,-99.098951,"19.264498,-99.098951"
4424,AV. SAN LORENZO,PRIV. BOSQUE DE SAUCES,BOSQUES DEL SUR,XOCHIMILCO,CON BOTON,CON ALTAVOZ,9mIR,WIFI GRATUITO_ACTIVO,19.27895,-99.126949,"19.27895,-99.126949"
4425,ANTIGUO CAMINO A SAN FRANCISCO,JACARANDAS,TLALTEPETLA,XOCHIMILCO,CON BOTON,CON ALTAVOZ,9mIR,WIFI GRATUITO_ACTIVO,19.224153,-99.117536,"19.224153,-99.117536"
4426,C. FLORICULTOR,C. 16 DE SEPTIEMBRE,PUEBLO DE SAN LUIS TLAXIALTEMALCO,XOCHIMILCO,CON BOTON,CON ALTAVOZ,9mIR,WIFI GRATUITO_ACTIVO,19.261033,-99.036913,"19.261033,-99.036913"
4427,AVENIDA HOMBRES ILUSTRES,CARRETERA A SANTA CECILIA,PUEBLO STA. CECILIA TEPETLAPA,XOCHIMILCO,CON BOTON,CON ALTAVOZ,9mIR,WIFI GRATUITO_ACTIVO,19.220586,-99.097554,"19.220586,-99.097554"
4428,ALGECIRAS,CADIZ,INSURGENTES MIXCOAC,BENITO JUAREZ,SIN BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.371953,-99.180909,"19.371953,-99.180909"
4429,CUMBRES DE ACULTZINGO,LA QUEMADA,NARVARTE ORIENTE,BENITO JUAREZ,SIN BOTON,SIN ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.392406,-99.149256,"19.392406,-99.149256"
4430,TORRES ADALID,MITLA,NARVARTE ORIENTE,BENITO JUAREZ,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.388212,-99.1503,"19.388212,-99.1503"
4431,PASEO DE LAS FACULTADES,ENTRE C. MEDICINA Y C. ARQUITECTURA,COPILCO UNIVERSIDAD,COYOACAN,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.334522,-99.179411,"19.334522,-99.179411"
4432,CIRCUITO ESTADIO AZTECA,LAS FLORES,BOSQUES DE TETLAMEYA,COYOACAN,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.304473,-99.148862,"19.304473,-99.148862"
4433,MANUELA SAENZ,PAULA PERALDO,CULHUACAN X-A,COYOACAN,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.32424,-99.120987,"19.32424,-99.120987"
4434,NICARAGUA,HONDURAS,BUENOS AIRES,CUAUHTEMOC,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.40549,-99.151106,"19.40549,-99.151106"
4435,GRAL BENJAMIN HILL,CHOLULA,HIPODROMO,CUAUHTEMOC,SIN BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.406932,-99.175424,"19.406932,-99.175424"
4436,VIADUCTO PDTE. MIGUEL ALEMAN,TEOCELO,ROMA SUR,CUAUHTEMOC,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.403776,-99.158619,"19.403776,-99.158619"
4437,AVENIDA JUAREZ,LUIS MOYA,CENTRO,CUAUHTEMOC,SIN BOTON,CON ALTAVOZ,9m,REPORTE DE FALLA,19.434749,-99.144808,"19.434749,-99.144808"
4438,AV 604,AGRUPAMIENTO G,NARCISO BASSOLS,GUSTAVO A. MADERO,SIN BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.455132,-99.055421,"19.455132,-99.055421"
4439,AVENIDA 561,2A CERRADA AVENIDA 561,U.H. SAN JUAN DE ARAGON 2DA SECC,GUSTAVO A. MADERO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.451551,-99.084058,"19.451551,-99.084058"
4440,CALLE 1545,AVENIDA FRANCISCO MORAZAN,U.H. SAN JUAN DE ARAGON VI SECC.,GUSTAVO A. MADERO,SIN BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.466129,-99.061065,"19.466129,-99.061065"
4441,CDA. PARIS,AVENIDA VENUSTIANO CARRANZA,VALLE DE MADERO,GUSTAVO A. MADERO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.554182,-99.13643,"19.554182,-99.13643"
4442,ACCESO DE VEHICULOS,U DE TRANSFERENCIA,CENTRAL DE ABASTOS,IZTAPALAPA,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.377923,-99.086944,"19.377923,-99.086944"
4443,C. FRUTAS Y LEGUMBRES,C. SUBASTA Y PRODUCTORES,CENTRAL DE ABASTOS,IZTAPALAPA,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.374301,-99.084285,"19.374301,-99.084285"
4444,CALZ IGNACIO ZARAGOZA,URBANO ESPINOZA,Z.U. STA. MARTHA ACATITLA SUR,IZTAPALAPA,SIN BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.376858,-99.022712,"19.376858,-99.022712"
4445,C. 3 DE JUNIO DE 1861,C. BATALLA DE CASA BLANCA,LEYES DE REFORMA,IZTAPALAPA,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.37956,-99.063071,"19.37956,-99.063071"
4446,C. HIDALGO,1RA. PRIV. HIDALGO,SAN NICOLAS TOLENTINO,IZTAPALAPA,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.328912,-99.091973,"19.328912,-99.091973"
4447,MANUEL ESCANDON,CAMIONEROS,U.H. CHINAMPAC DE JUAREZ,IZTAPALAPA,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.378906,-99.041692,"19.378906,-99.041692"
4448,CALZADA SAN BARTOLO NAUCALPAN,C. LAGO FONTANA,ARGENTINA PONIENTE,MIGUEL HIDALGO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.458885,-99.203557,"19.458885,-99.203557"
4449,LAGO CANEGUIN,CALZADA MEXICO TACUBA,ARGENTINA ANTIGUA,MIGUEL HIDALGO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.455852,-99.208965,"19.455852,-99.208965"
4450,C. MAR MEDITERRANEO,C. MAR DE LA SONDA,POPOTLA,MIGUEL HIDALGO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.456246,-99.177858,"19.456246,-99.177858"
4451,C. XOLOTL,C. TONATZIN,TLAXPANA,MIGUEL HIDALGO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.443639,-99.168461,"19.443639,-99.168461"
4452,CALZADA ZOQUIPA,C. SUR 81,LORENZO BOTURINI,VENUSTIANO CARRANZA,SIN BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.417965,-99.123028,"19.417965,-99.123028"
4453,AVENIDA 4,CALLE 53,IGNACIO ZARAGOZA,VENUSTIANO CARRANZA,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.41232,-99.085934,"19.41232,-99.085934"
4454,CALLE 55,AVENIDA 10,IGNACIO ZARAGOZA,VENUSTIANO CARRANZA,SIN BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.409454,-99.087085,"19.409454,-99.087085"
4455,AV. JUAREZ,C. DOLORES,CENTRO,CUAUHTEMOC,SIN BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.434374,-99.142704,"19.434374,-99.142704"
4456,AV. INDEPENDENCIA,C. JOSE AZUETA,CENTRO,CUAUHTEMOC,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.433729,-99.146751,"19.433729,-99.146751"
4457,C. SOLEDAD,ESQ.  C. SANTISIMA,CENTRO,CUAUHTEMOC,CON BOTON,CON ALTAVOZ,9m,REPORTE DE FALLA,19.432311,-99.12703,"19.432311,-99.12703"
4458,C. LAS CRUCES,C. MESONES,CENTRO,CUAUHTEMOC,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.427922,-99.129471,"19.427922,-99.129471"
4459,AV. DEL CASTILLO,C. BAJADA DEL CERRITO,COCOYOTES,GUSTAVO A. MADERO,SIN BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.548495,-99.133984,"19.548495,-99.133984"
4460,AV. CUITLAHUAC,EJE 3 NORTE CALZ. CAMARONES,OBRERO POPULAR,AZCAPOTZALCO,SIN BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.46808,-99.176101,"19.46808,-99.176101"
4461,EJE 2 ORIENTE CALZ. DE LA VIGA,AV. JORGE ENCISO,HEROES DE CHURUBUSCO,IZTAPALAPA,SIN BOTON,SIN ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.359888,-99.122015,"19.359888,-99.122015"
4462,C. TRABAJO,C. LA FAMA,BARRIO LA FAMA,TLALPAN,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.289396,-99.177819,"19.289396,-99.177819"
4463,C. SANTA URSULA,AV. INSURGENTES SUR,TLALPAN,TLALPAN,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.283931,-99.175479,"19.283931,-99.175479"
4464,EJE 8 SUR ERMITA IZTAPALAPA,AV. TOLTECAS,GRANJAS SAN ANTONIO,IZTAPALAPA,SIN BOTON,CON ALTAVOZ,9m,REPORTE DE FALLA,19.356168,-99.105786,"19.356168,-99.105786"
4465,C. PONIENTE 122,C. NORTE 21,NUEVA VALLEJO,GUSTAVO A. MADERO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.485025,-99.149013,"19.485025,-99.149013"
4466,AV. WILFRIDO MASSIEU,C. 17 DE MAYO,SAN BARTOLO ATEPEHUACAN,GUSTAVO A. MADERO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.496873,-99.141772,"19.496873,-99.141772"
4467,C. LIC. JOSE URBANO FONSECA,AV. HOSPITAL BENITO JUAREZ,MAXIMINO AVILA CAMACHO,GUSTAVO A. MADERO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.480917,-99.137419,"19.480917,-99.137419"
4468,AVENIDA 5 DE MAYO,C. FRAY SERVANDO TERESA DE MIER,VALLE DE MADERO,GUSTAVO A. MADERO,SIN BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.548824,-99.140956,"19.548824,-99.140956"
4469,AV. MONTEVIDEO,AV. ETEN,LINDAVISTA,GUSTAVO A. MADERO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.491938,-99.13841,"19.491938,-99.13841"
4470,C. ESTADO DE MEXICO,C. MORELOS,CHALMA DE GUADALUPE,GUSTAVO A. MADERO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.551242,-99.149421,"19.551242,-99.149421"
4471,C. MORELOS,ENTRE C. YUCATAN Y C. SONORA,CHALMA DE GUADALUPE,GUSTAVO A. MADERO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.554919,-99.147554,"19.554919,-99.147554"
4472,ANDADOR BARRANCA SECA,C. GUERRERO SUR,PUEBLO SAN ANTONIO TECOMITL,MILPA ALTA,SIN BOTON,SIN ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.214949,-98.991441,"19.214949,-98.991441"
4473,C. CANTON,C. PERSIA,ROMERO RUBIO,VENUSTIANO CARRANZA,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.444163,-99.098437,"19.444163,-99.098437"
4474,C. BALBOA,EJE 7 SUR MUNICIPIO LIBRE,PORTALES NORTE,BENITO JUAREZ,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.368345,-99.144427,"19.368345,-99.144427"
4475,EJE 3 ORIENTE EDUARDO MOLINA,ENTRE CALLE 318 Y 316,NUEVA ATZACOALCO,GUSTAVO A. MADERO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.504721,-99.086546,"19.504721,-99.086546"
4476,NORTE 66-A,ORIENTE 155,SALVADOR DÍAZ MIRÓN,GUSTAVO A. MADERO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.487593,-99.099692,"19.487593,-99.099692"
4477,EJE 10 SUR RIO DE LA MAGDALENA,ENTRE C. DONATO GUERRA Y AV. REVOLUCION,BARRIO LORETO,ALVARO OBREGON,CON BOTON,SIN ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.338366,-99.194537,"19.338366,-99.194537"
4478,CALZADA DE LAS AGUILAS,CAMINO VIEJO A MIXCOAC,VILLA VERDUN,ALVARO OBREGON,SIN BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.33949,-99.264012,"19.33949,-99.264012"
4479,C. JUVENTINO ROSAS,AV. INSURGENTES SUR,GUADALUPE INN,ALVARO OBREGON,CON BOTON,CON ALTAVOZ,9m,REPORTE DE FALLA,19.355981,-99.184849,"19.355981,-99.184849"
4480,C. LOPEZ,ARTICULO 123,CENTRO,CUAUHTEMOC,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.432138,-99.142134,"19.432138,-99.142134"
4481,C. GRAL. JUAN CANO,C. ALUMNOS,SAN MIGUEL CHAPULTEPEC,MIGUEL HIDALGO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.415643,-99.183823,"19.415643,-99.183823"
4482,AV. ALFREDO ROBLES DOMÍNGUEZ,C. CARUSO,VALLEJO,GUSTAVO A. MADERO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.469321,-99.129483,"19.469321,-99.129483"
4483,ENTRE AVENIDA 416 Y AVENIDA FRANCISCO MORAZAN,AVENIDA 499,U.H. SAN JUAN DE ARAGON VII SECC.,GUSTAVO A. MADERO,SIN BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.47322,-99.070553,"19.47322,-99.070553"
4484,C. PUERTO TAMPICO,AVENIDA JOSE LORETO FABELA,AMP. CASAS ALEMAN,GUSTAVO A. MADERO,SIN BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.475813,-99.078869,"19.475813,-99.078869"
4485,C. VOLCAN ACATENANGO,AV. FRANCISCO MORAZAN,AMPLIACION PROVIDENCIA,GUSTAVO A. MADERO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.476881,-99.072353,"19.476881,-99.072353"
4486,C. 47,AV.  FCO. MORAZAN,IGNACIO ZARAGOZA,VENUSTIANO CARRANZA,SIN BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.411435,-99.088412,"19.411435,-99.088412"
4487,AV. JOSE LORETO FABELA,CAMINO A SAN JUAN DE ARAGON,AMPLIACION CASAS ALEMAN,GUSTAVO A. MADERO,SIN BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.473546,-99.079077,"19.473546,-99.079077"
4488,C. VOLCAN HUITZUCO,C. BARAJAS,U.H LA PRADERA,GUSTAVO A. MADERO,CON BOTON,CON ALTAVOZ,9m,REPORTE DE FALLA,19.471329,-99.063398,"19.471329,-99.063398"
4489,C. 1 DE NOVIEMBRE,CAM. REAL A TOLUCA,LA CONCHITA,ALVARO OBREGON,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.390734,-99.207046,"19.390734,-99.207046"
4490,C. ARTIFICIOS,PROL. ACUEDUCTO (CALLE CERRADA),ACUEDUCTO,ALVARO OBREGON,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.397611,-99.209942,"19.397611,-99.209942"
4491,C. PRINCIPAL,C. CUERNAVACA,LOMAS DE BECERRA,ALVARO OBREGON,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.384048,-99.215607,"19.384048,-99.215607"
4492,C. BARRANCA DEL TECOLOTE,C. JESUS ROCHA,OLIVAR DEL CONDE 2a. SECC.,ALVARO OBREGON,SIN BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.374725,-99.2135,"19.374725,-99.2135"
4493,C. MINA DE SANTO DOMINGO,ESQ.: C.5,REACOMO DE PINO SUÁREZ,ALVARO OBREGON,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.395675,-99.204919,"19.395675,-99.204919"
4494,C. FRANCISCO P. MIRANDA,BLVD. ADOLFO LOPEZ MATEOS (LATERAL),MERCED GOMEZ,ALVARO OBREGON,SIN BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.36974,-99.192079,"19.36974,-99.192079"
4495,RT. 2,ESQ.: C. DR. FCO. DE P. MIRANDA,MERCED GÓMEZ,ALVARO OBREGON,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.367535,-99.192746,"19.367535,-99.192746"
4496,C. LOMAS DE TARANGO,C. LOMA CHICA,LOMAS DE TARANGO,ALVARO OBREGON,SIN BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.362401,-99.216768,"19.362401,-99.216768"
4497,AV. CEYLAN,C. PONIENTE 134,INDUSTRIAL VALLEJO,AZCAPOTZALCO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.495962,-99.170941,"19.495962,-99.170941"
4498,C. LAURO VILLAR,CALZ. DE LAS ARMAS,PROVIDENCIA,AZCAPOTZALCO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.495553,-99.214244,"19.495553,-99.214244"
4499,C. LUCIO BLANCO,ENTRE CALZADA DE LAS ARMAS Y C. MANUEL SALAZAR,PROVIDENCIA,AZCAPOTZALCO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.488463,-99.212587,"19.488463,-99.212587"
4500,AV. INSURGENTES NORTE,CALZ. SAN  SIMON,SAN SIMON TOLNAHUAC,CUAUHTEMOC,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.458821,-99.146861,"19.458821,-99.146861"
4501,AV. HIDALGO,ENTRE C. ÁNGELA PERALTA Y DR. MORA (MORA),GUERRERO,CUAUHTEMOC,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.436604,-99.143738,"19.436604,-99.143738"
4502,C. TEPEJI,C. JALAPA,ROMA SUR,CUAUHTEMOC,SIN BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.408023,-99.160048,"19.408023,-99.160048"
4503,EJE 1 OTE. ANDRES MOLINA ENRIQUEZ,C. VENTURA G. TENA,AMPLIACION ASTURIAS,CUAUHTEMOC,CON BOTON,SIN ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.405649,-99.128963,"19.405649,-99.128963"
4504,C. ALCATRAZ,C. MADRE SELVA,JUAN GONZÁLES ROMERO,GUSTAVO A. MADERO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.506449,-99.090409,"19.506449,-99.090409"
4505,C- LUÍS DE LA ROSA,C. LEÓN GUZMÁN,CONSTITUCIÓN DE LA REPUBLICA,GUSTAVO A. MADERO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.482248,-99.09982,"19.482248,-99.09982"
4506,CALZ. GRAL. IGNACIO ZARAGOZA,RET. 1 SUR 10,AGRICOLA ORIENTAL,IZTACALCO,SIN BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.398414,-99.059729,"19.398414,-99.059729"
4507,AVENIDA AMACUZAC,PRIV. SANCHEZ,SAN ANDRES TETEPILCO,IZTAPALAPA,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.371867,-99.1275,"19.371867,-99.1275"
4508,RETORNO 302 CALZADA DE LA VIGA,RETORNO 301 CALZADA DE LA VIGA,UNIDAD MODELO,IZTAPALAPA,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.363542,-99.123733,"19.363542,-99.123733"
4509,AV. AGUSTIN YAÑES,C. TTE. HECTOR ESPINOZA GALVAN,ESCUADRON 201,IZTAPALAPA,CON BOTON,SIN ALTAVOZ,9m,REPORTE DE FALLA,19.36494,-99.112418,"19.36494,-99.112418"
4510,C. JORGE ENCISO,C. GRAL. ANTONIO CARDENAS RODRIGUEZ,MEXICALTZINGO,IZTAPALAPA,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.358892,-99.115236,"19.358892,-99.115236"
4511,C. RODOLFO USIGLI,C. TTE. FAUSTO VEGA SANTANDER,ESCUADRON 201,IZTAPALAPA,CON BOTON,SIN ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.363064,-99.112396,"19.363064,-99.112396"
4512,AV. SAN JERONIMO,C. HORTENSIA,LOMAS QUEBRADAS,MAGDALENA CONTRERAS,CON BOTON,SIN ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.314609,-99.242429,"19.314609,-99.242429"
4513,AV. DE LAS TORRES,C. HIDALGO,EL TANQUE,MAGDALENA CONTRERAS,CON BOTON,CON ALTAVOZ,9m,REPORTE DE FALLA,19.325072,-99.247249,"19.325072,-99.247249"
4514,AV. OJO DE AGUA,C. OYAMEL,AMPL. LOMAS SAN BERNABE,MAGDALENA CONTRERAS,CON BOTON,SIN ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.306792,-99.265782,"19.306792,-99.265782"
4515,AV. SAN BERNABE,AV. LUIS CABRERA,CUAUHTEMOC,MAGDALENA CONTRERAS,CON BOTON,SIN ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.320481,-99.241236,"19.320481,-99.241236"
4516,C. AZTECAS,C. HIGUERA,PUEBLO SAN BERNABE OCOTEPEC,MAGDALENA CONTRERAS,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.320787,-99.258058,"19.320787,-99.258058"
4517,C. BOSQUES DE CIPRESES SUR,C. BOSQUES DE CIRUELOS,BOSQUES DE LAS LOMAS,MIGUEL HIDALGO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.408265,-99.238101,"19.408265,-99.238101"
4518,C. REVOLUCION,C. JOSE MARIA VIGIL,TACUBAYA,MIGUEL HIDALGO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.401422,-99.184948,"19.401422,-99.184948"
4519,AV PARQUE LIRA,C. JOSE A. FLORES,SAN MIGUEL CHAPULTEPEC,MIGUEL HIDALGO,SIN BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.407679,-99.189751,"19.407679,-99.189751"
4520,CARRETERA A SANTA CATARINA,C. VALLE ALPINO,SELENE 1ra. SECC.,TLAHUAC,CON BOTON,SIN ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.29468,-99.002146,"19.29468,-99.002146"
4521,C. ANTIGUO CANAL DE CUEMANCO,ANILLO PERIFERICO BLVD. ADOLFO RUIZ CORTINES,BARRIO 18,XOCHIMILCO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.287007,-99.103027,"19.287007,-99.103027"
4522,C. PLAN DE AYALA,C. REFORMA LABORAL,LA CEBADA SAN LORENZO,XOCHIMILCO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.282936,-99.117259,"19.282936,-99.117259"
