id,direccion,esquina,colonia,alcaldia,boton,altavoz,tipo_de_poste,estatus_conectividad,latitud,longitud,geopoint
6605,C. ESCUELA SECUNDARIA 160,C. ARROYO PEÑA GORDA,VALLE DE MADERO,GUSTAVO A. MADERO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.551697,-99.13794,"19.551697,-99.13794"
6606,C. ORIENTE 185,C. NORTE 72,AMPLIACION VILLA HERMOSA,GUSTAVO A. MADERO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.50272,-99.091978,"19.50272,-99.091978"
6607,C. HIDALGO,C. 5 DE MAYO,SAN JUAN DE ARAGON,GUSTAVO A. MADERO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.469589,-99.0846,"19.469589,-99.0846"
6608,C. CAMINO PARQUE CENTRAL,C. CAMINO CAMPESTRE,CAMPESTRE ARAGON,GUSTAVO A. MADERO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.486136,-99.077766,"19.486136,-99.077766"
6609,C. TENOCHTITLAN,AV. INSURGENTES NTE,STA. ISABEL TOLA,GUSTAVO A. MADERO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.500983,-99.117434,"19.500983,-99.117434"
6610,CALZ. DE LOS MISTERIOS,C. GARRIDO,TEPEYAC INSURGENTES,GUSTAVO A. MADERO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.483172,-99.119429,"19.483172,-99.119429"
6611,ORIENTE 115,NORTE 84 - A,GERTRUDIS SANCHEZ  2DA. SECCION,GUSTAVO A. MADERO,SIN BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.464535,-99.100396,"19.464535,-99.100396"
6612,C. PONIENTE 108,C. NORTE 3,DEFENSORES DE LA REPUBLICA,GUSTAVO A. MADERO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.47525,-99.142674,"19.47525,-99.142674"
6613,AV. ACUEDUCTO,ENTRE CALZ. TICOMAN  Y  CJON. CAÑADA,BARRIO LA CANDELARIA TICOMAN,GUSTAVO A. MADERO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.519282,-99.133512,"19.519282,-99.133512"
6614,AV. CUCHILLA DEL TESORO,AV. DEL PARQUE,CUCHILLA DEL TESORO,GUSTAVO A. MADERO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.448365,-99.057626,"19.448365,-99.057626"
6615,C. CALPULALPAN,C. ORIZABA,SAN FELIPE DE JESUS,GUSTAVO A. MADERO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.490442,-99.067573,"19.490442,-99.067573"
6616,C. 329,PERIFERICO,NUEVA ATZACOALCO,GUSTAVO A. MADERO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.504337,-99.079062,"19.504337,-99.079062"
6617,AV. 504,C. 553,U.H. SAN JUAN DE ARAGON SECC. 2,GUSTAVO A. MADERO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.450615,-99.086335,"19.450615,-99.086335"
6618,VOLCAN DE ZUNIL,ESQ. VOLCAN ACATENANGO,AMPLIACION LA PROVIDENCIA,GUSTAVO A. MADERO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.47833,-99.070882,"19.47833,-99.070882"
6619,C. 312,C. 311,NUEVA ATZACOALCO,GUSTAVO A. MADERO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.499151,-99.08659,"19.499151,-99.08659"
6620,C. ORIENTE 185,C. NORTE 70 A,AMPLIACION VILLA HERMOSA,GUSTAVO A. MADERO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.502854,-99.09251,"19.502854,-99.09251"
6621,C. PICO DE ORIZABA,C. MONTE DE LAS CRUCES,LA PRADERA,GUSTAVO A. MADERO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.475132,-99.06771,"19.475132,-99.06771"
6622,C. 315,C. 298-A,EL COYOL,GUSTAVO A. MADERO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.487155,-99.089778,"19.487155,-99.089778"
6623,C. MIGUEL ALEMAN,2DA. CDA. DE MIGUEL ALEMAN,BENITO JUAREZ,GUSTAVO A. MADERO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.533169,-99.139129,"19.533169,-99.139129"
6624,C. COFRE DE PEROTE,C. POPOCATEPETL,LA PRADERA,GUSTAVO A. MADERO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.474841,-99.065888,"19.474841,-99.065888"
